Apostolepis quirogai;;Em Perigo (EN);Rio Grande do Sul;Mata Atlântica
Apostolepis striata;cobra-rainha-estriada;Em Perigo (EN);Rondônia;Amazônia
Aratinga solstitialis;Aratinga Sol, jandaia-amarela, Sun Parakeet;Em Perigo (EN);Roraima;Amazônia
Arawacus aethesa;Borboleta, Borboleta formigueira;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica
Archisotoma arariboia;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica, Sistema Costeiro-Marinho
Archisotoma catiae;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Sistema Costeiro-Marinho
Archolaemus ferreirai;;Vulnerável (VU);Roraima;Amazônia
Archolaemus santosi;;Vulnerável (VU);Rondônia;Amazônia, Desconhecido
Arhysosage cactorum;Abelha, Abelha do cacto;Vulnerável (VU);Rio Grande do Sul;Pampa
Ariadna aurea;Aranha;Vulnerável (VU);Bahia;Caatinga
Arlea arenicola;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Sistema Costeiro-Marinho
Arlea psammophila;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Sistema Costeiro-Marinho
Arlesia intermedia;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Rio de Janeiro;Sistema Costeiro-Marinho
Arremonops conirostris;Black-striped Sparrow, Cerquero Negrilistado, tico-tico-cantor;Em Perigo (EN);Roraima;Amazônia
Arrhopalites alambariensis;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);São Paulo;Mata Atlântica
Arrhopalites amorimi;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);São Paulo;Mata Atlântica
Arrhopalites botuveraensis;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);Santa Catarina;Mata Atlântica
Arrhopalites glabrofasciatus;Colêmbolo, Pulga de jardim;Em Perigo (EN);Minas Gerais;Cerrado, Mata Atlântica
Arrhopalites gnaspinii;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Arrhopalites heteroculatus;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);São Paulo;Mata Atlântica
Arrhopalites lawrencei;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);São Paulo;Mata Atlântica
Arrhopalites paranaensis;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Paraná;Mata Atlântica
Asthenes hudsoni;Canastero pampeano, Hudson's Canastero, joão-platino;Vulnerável (VU);Rio Grande do Sul;Pampa
Asthenes luizae;Canastero de Cipó, Cipo Canastero, lenheiro-da-serra-do-cipó;Em Perigo (EN);Minas Gerais;Cerrado, Mata Atlântica
Astropecten articulatus;estrela-do-mar;Vulnerável (VU);Ceará, Paraná, Piauí, Rio de Janeiro, Rio Grande do Sul, Santa Catarina;Sistema Costeiro-Marinho
Astropecten brasiliensis;estrela-do-mar;Vulnerável (VU);Bahia, Ceará, Espírito Santo, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Astropecten marginatus;estrela-do-mar;Vulnerável (VU);Amapá, Bahia, Ceará, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Astyanax eremus;Lambari, Piaba;Criticamente em Perigo (CR);Paraná;Mata Atlântica
Ateles belzebuth;coatá, Long-haired spider monkey, Macaco aranha, Macaco-aranha, maquisapa, marimona, marimonda, mono araña común, mono araña de vientre amarillo, Paxó, white-bellied spider monkey;Vulnerável (VU);Amazonas, Roraima;Amazônia
Ateles chamek;Atèle à face noire, Black-faced black spider monkey, Chamek spider monkey, Coatá, Coatá-preto, Macaco-aranha, Macaco-aranha-da-cara-preta, Maquisapa, Marimono, Mono araña negro, Peruvian spider monkey, Schwarzgesicht-klammeraffe;Vulnerável (VU);Acre, Amazonas, Mato Grosso, Pará, Rondônia;Amazônia, Cerrado, Pantanal
Ateles marginatus;Coatá-da-testa-branca, Cuamba (Pará), Guatá (Mato Grosso), Macaco-aranha, Toprugo, White-cheeked Spider Monkey, White-fronted Spider Monkey, White-whiskered Spider Monkey;Em Perigo (EN);Mato Grosso, Pará;Amazônia
Atelocynus microtis;"cachorro-do-mato-de-orelhas-curtas, perro de monte; perro de orejas cortas, perro de orejas cortas, renard à petites oreilles, short-eared dog, small-eared dog, small-eared zorro, zorro negro, zorro ojizarco";Vulnerável (VU);Acre, Amazonas, Mato Grosso, Pará, Rondônia;Amazônia
Ateuchus squalidus;Besouro, Besouro rola-bosta;Vulnerável (VU);Espírito Santo, Rio de Janeiro;Mata Atlântica
Atlantirivulus lazzarotoi;Peixe das nuvens, Peixe não-anual;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Atlantirivulus maricensis;Peixe das nuvens, Peixe não-anual;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Atlantirivulus nudiventris;Peixe das nuvens, Peixe não-anual;Criticamente em Perigo (CR);Espírito Santo;Mata Atlântica
Atlantirivulus simplicis;Peixe das nuvens, Peixe não-anual;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Atlantoraja castelnaui;emplastro, emplastro-marcela, emplastro-pintado, raia-chita, raia-marcela;Em Perigo (EN);Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Atlantoraja cyclophora;emplastro-carimbado, raia-carimbada, raia-santa;Vulnerável (VU);Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Atractus caete;cobra-da-terra-da-floresta;Em Perigo (EN);Alagoas;Mata Atlântica
Atractus ronnie;cobra-da-terra, cobra-da-terra-dos-brejos;Em Perigo (EN);Ceará;Caatinga
Atractus thalesdelemai;cobra-da-terra-do-sul;Em Perigo (EN);Rio Grande do Sul;Mata Atlântica
Atta robusta;Formiga, formiga-cortadeira, saúva-preta;Vulnerável (VU);Espírito Santo, Rio de Janeiro;Amazônia, Mata Atlântica, Sistema Costeiro-Marinho
Attila spadiceus uropygiatus;capitão-de-saíra-amarelo;Em Perigo (EN);Alagoas, Bahia, Espírito Santo, Pernambuco;Mata Atlântica
Augastes lumachella;beija-flor-de-gravata-vermelha, Colibrí Lumaquela, Hooded Visorbearer;Em Perigo (EN);Bahia, Distrito Federal;Caatinga, Cerrado, Mata Atlântica
Austrolebias adloffi;Peixe anual, Peixe das nuvens;Em Perigo (EN);Rio Grande do Sul;Pampa
Austrolebias alexandri;Peixe anual, Peixe das nuvens;Em Perigo (EN);Rio Grande do Sul;Pampa
Austrolebias arachan;Peixe anual, Peixe das nuvens;Vulnerável (VU);Rio Grande do Sul;Pampa
Austrolebias araucarianus;Peixe anual, Peixe das nuvens;Vulnerável (VU);Paraná;Mata Atlântica
Austrolebias bagual;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
Austrolebias camaquensis;Peixe anual, Peixe das nuvens;Em Perigo (EN);Rio Grande do Sul;Pampa
Austrolebias carvalhoi;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Paraná;Mata Atlântica
Austrolebias cheradophilus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
