Dinoponera lucida;formiga, Formiga;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais;Mata Atlântica, Sistema Costeiro-Marinho
Diomedea dabbenena;Albatros de Tristán de Acuña, albatroz-de-tristão, Tristan Albatross;Criticamente em Perigo (CR);Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Diomedea epomophora;Albatros real meridional, albatroz-real, Royal Albatross, Southern Royal Albatross;Vulnerável (VU);Rio de Janeiro, Rio Grande do Sul, São Paulo;Pampa, Sistema Costeiro-Marinho
Diomedea exulans;Albatros Viajero, albatroz-errante, albatroz-gigante, Wandering Albatross;Criticamente em Perigo (CR);Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Diomedea sanfordi;Albatros real septentrional, albatroz-real-do-norte, Northern Royal Albatross;Em Perigo (EN);Rio Grande do Sul, Santa Catarina;Sistema Costeiro-Marinho
Diopatra cuprea;Bicha do casulo, Minhoca da praia, Minhoca do casulo, Minhoca do mar;Vulnerável (VU);Alagoas, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Dioplosternus salvatrix;Piolho-de-cobra;Vulnerável (VU);Mato Grosso;Amazônia
Dirphia monticola;Mariposa;Vulnerável (VU);Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Discocyrtus pedrosoi;Aranha-bode, Aranha-fedorenta, Opilião;Vulnerável (VU);Bahia;Caatinga
Discosura langsdorffi langsdorffi;Black-bellied Thorntail, rabo-de-espinho, Rabudito Ventrinegro;Em Perigo (EN);Bahia, Espírito Santo, Rio de Janeiro;Mata Atlântica
Ditaxodon taeniatus;Hensel's Snake, Parelheira-listrada-do-campo;Vulnerável (VU);Mato Grosso do Sul, Paraná, São Paulo;Cerrado, Mata Atlântica
Dobrodesmus mirabilis;Piolho-de-Cobra;Criticamente em Perigo (CR);Bahia;Caatinga
Dolichothele diamantinensis;Aranha, Aranha-caranguejeira, tarântula;Em Perigo (EN);Minas Gerais;Cerrado
Doxocopa zalmunna;Borboleta;Criticamente em Perigo (CR) (PE);Rio de Janeiro, São Paulo;
Drephalys miersi;Borboleta, Diabinha;Em Perigo (EN);Paraná, Santa Catarina;Mata Atlântica
Drephalys mourei;Borboleta, Diabinha;Criticamente em Perigo (CR);Rio de Janeiro, Santa Catarina, São Paulo;Cerrado, Mata Atlântica
Drymusa spelunca;Aranha, Falsa-aranha-violino;Criticamente em Perigo (CR);Pará;Amazônia
Dysithamnus plumbeus;Batarito plomizo, choquinha-chumbo, Plumbeous Antvireo;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Echinanthera cephalomaculata;;Vulnerável (VU);Alagoas, Pernambuco;Caatinga, Mata Atlântica
Eigenmannia vicentespelaea;Ituí;Vulnerável (VU);Goiás;Cerrado, Desconhecido
Elacatinus figaro;néon;Vulnerável (VU);Alagoas, Bahia, Ceará, Maranhão, Paraíba, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Elaenia ridleyana;cocoruta, Fiofío de Noronha, Noronha Elaenia;Vulnerável (VU);Pernambuco;Mata Atlântica, Sistema Costeiro-Marinho
Elasmothemis schubarti;Libélula;Em Perigo (EN);Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Eleoscytalopus psychopompus;Bahia Tapaculo, Churrín de Bahía, macuquinho-baiano;Em Perigo (EN);Bahia;Mata Atlântica
Endecous apterus;Grilo;Em Perigo (EN);Bahia;Caatinga
Endecous peruassuensis;Grilo;Em Perigo (EN);Minas Gerais;Cerrado
Enneanectes smithi;;Vulnerável (VU);Pernambuco;Sistema Costeiro-Marinho
Enyalius erythroceneus;Papa-vento-da-chapada;Criticamente em Perigo (CR);Bahia;Caatinga
Epinecrophylla dentei;choquinha-do-rio-roosevelt, Roosevelt Stipple-throated Antwren;Vulnerável (VU);Amazonas, Rondônia;Amazônia
Epinephelus itajara;bodete, garoupa, mero, merote;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Epinephelus marginatus;garoupa-verdadeira;Vulnerável (VU);Bahia, Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Epinephelus morio;garoupa, garoupa-são-tomé, garoupa-vermelha, mero-americano;Vulnerável (VU);Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Epiperipatus adenocryptus;Onicóforo;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Epiperipatus diadenoproctus;Onicóforo;Vulnerável (VU);Minas Gerais;Mata Atlântica
Epiperipatus ohausi;Onicóforo;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Epiperipatus paurognostus;Onicóforo;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Eresia erysice erysice;Borboleta;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Eretmochelys imbricata;Tartaruga de escamas, Tartaruga-de-pente, Tartaruga Legítima, Tartaruga verdadeira;Em Perigo (EN);Paraíba, Pernambuco, Rio Grande do Norte;Sistema Costeiro-Marinho
Eubalaena australis;Baleia-franca, Baleia-franca-austral, Baleia-franca-do-sul, Baleine Australe, Ballena Franca Austral, Southern Right Whale;Em Perigo (EN);Bahia, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina;Mata Atlântica, Sistema Costeiro-Marinho
Eucorna sanarita;Borboleta, Fadinha;Em Perigo (EN);Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Eukoenenia cavatica;Palpígrado;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Eukoenenia eywa;Palpígrado;Em Perigo (EN);Minas Gerais;Mata Atlântica
Eukoenenia jequitinhonha;Palpígrado;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Eukoenenia maquinensis;microwhip scorpion, Palpígrado;Vulnerável (VU);Minas Gerais;Cerrado
Eukoenenia navi;Palpígrado;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Eukoenenia neytiri;Palpígrado;Em Perigo (EN);Minas Gerais;Mata Atlântica
Eukoenenia potiguar;microwhip scorpion, palpígrado;Vulnerável (VU);Rio Grande do Norte;Caatinga
Eukoenenia sagarana;Microwhip scorpion, Palpígrado;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Eukoenenia spelunca;microwhip scorpion, Palpígrado;Criticamente em Perigo (CR);Espírito Santo;Mata Atlântica
Eukoenenia virgemdalapa;Microwhip scorpion, Palpígrado;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Eunice sebastiani;Minhoca da praia, Minhoca do mar;Em Perigo (EN);São Paulo;Sistema Costeiro-Marinho
Euparkerella robusta;Izecksohn's Guanabara Frog, Rãzinha-do-folhiço;Criticamente em Perigo (CR);Espírito Santo;Mata Atlântica
Euptychia boulleti;Borboleta;Criticamente em Perigo (CR);Espírito Santo, Rio de Janeiro;Mata Atlântica
Eurolophosaurus amathites;;Em Perigo (EN);Bahia;Caatinga
Euryoryzomys lamia;Buffy-sided Rice Rat, Monster Rice Rat, Rato-do-mato;Em Perigo (EN);Goiás, Minas Gerais;Cerrado
Eurytides lysithous harrisianus;Borboleta, rabo-de-andorinha;Criticamente em Perigo (CR);Espírito Santo, Rio de Janeiro;Mata Atlântica
Eurytides lysithous sebastianus;Borboleta, rabo-de-andorinha;Vulnerável (VU);Espírito Santo, Minas Gerais, Pernambuco, Rio de Janeiro;Mata Atlântica
Eusarcus elinae;Aranha-bode, Aranha-fedorenta, Opilião;Em Perigo (EN);Bahia;Caatinga
Eustrombus goliath;búzio-de-aba, búzio-de-chapéu, goliath conch, orelha-de-elefante;Vulnerável (VU);;Sistema Costeiro-Marinho
Euvola ziczac;vieira;Em Perigo (EN);;Sistema Costeiro-Marinho
Ferricixius davidi;Cigarrinha;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Fimoscolex sporadochaetus;Minhoca, Minhoca-branca;Em Perigo (EN);Minas Gerais;Mata Atlântica
Fluminagrion taxaense;Libélula;Criticamente em Perigo (CR) (PE);Rio de Janeiro;Mata Atlântica
Fontitrygon colarensis;arraia-branca, arraia-branca-bicuda;Vulnerável (VU);Maranhão;Sistema Costeiro-Marinho
Formicivora acutirostris;bicudinho-do-brejo, Hormiguerito del Paraná, Marsh Antwren, Parana Antwren;Vulnerável (VU);Paraná, Rio Grande do Sul, Santa Catarina;Mata Atlântica
Formicivora erythronotos;Black-hooded Antwren, formigueiro-de-cabeça-negra, Hormiguerito Encapuchado;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Formicivora grantsaui;Hormiguerito de Sincorá, papa-formiga-do-sincorá, Sincora Antwren;Em Perigo (EN);Bahia;Caatinga
Formicivora littoralis;formigueiro-do-litoral, Hormiguerito Litoral, Restinga Antwren;Em Perigo (EN);Rio de Janeiro;Mata Atlântica, Sistema Costeiro-Marinho
Formicivora paludicola;bicudinho-do-brejo-paulista, Hormiguerito paludícola, São Paulo Marsh Antwren;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Forsterinaria itatiaia;Borboleta;Vulnerável (VU);Espírito Santo, Rio de Janeiro;Mata Atlântica
Fredyagrion capixabae;Agulhinha, Donzelinha, Donzelinha das bromélias, Lava-bunda, Libélula, Libélula das bromélias;Vulnerável (VU);Espírito Santo, Rio de Janeiro;Mata Atlântica
Fredyagrion vriesianum;Agulhinha, Donzelinha, Donzelinha das bromélias, Lava-bunda, Libélula, Libélula das bromélias;Vulnerável (VU);Rio de Janeiro, São Paulo;Mata Atlântica
Fregata minor;Fragata Pelágica, Great Frigatebird, tesourão-grande;Criticamente em Perigo (CR);Espírito Santo;Mata Atlântica, Sistema Costeiro-Marinho
Fregata trinitatis;Least Frigatebird, Lesser Frigatebird, Rabihorcado Chico, tesourão-pequeno;Criticamente em Perigo (CR);Espírito Santo;Mata Atlântica, Sistema Costeiro-Marinho
Fulakora cleae;formiga, Formiga;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Furipterus horrens;;Vulnerável (VU);Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Roraima, Santa Catarina, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica
Galeorhinus galeus;cação-bico-de-cristal, cação-bico-doce;Criticamente em Perigo (CR);Santa Catarina;Sistema Costeiro-Marinho
Genidens barbus;bagre-branco, bagre-rosado;Em Perigo (EN);Bahia, Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Genidens planifrons;bagre-boca-larga, bagre-marinho;Criticamente em Perigo (CR);Rio Grande do Sul;Sistema Costeiro-Marinho
Geositta poeciloptera;andarilho, Campo Miner, curriqueiro, Minero Común;Vulnerável (VU);Bahia, Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, São Paulo, Tocantins;Cerrado, Mata Atlântica
Ginglymostoma cirratum;cação-lixa, lambarú, tubarão-lixa, urumaru;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, São Paulo, Sergipe;Sistema Costeiro-Marinho
Girardia arenicola;Planária;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Girardia desiderensis;Planária;Criticamente em Perigo (CR);Bahia;Cerrado
Girardia multidiverticulata;Planária;Criticamente em Perigo (CR);Mato Grosso do Sul;Cerrado
Girardia paucipuntacta;Planária;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Giupponia chagasi;Aranha-bode, Aranha-fedorenta, Opilião;Em Perigo (EN);Bahia;Cerrado
Glaphyropoma spinosum;Bagrinho-de-caverna;Vulnerável (VU);Bahia;Caatinga
Glaucidium mooreorum;caburé-de-pernambuco, Mochuelo de Pernambuco, Pernambuco Pygmy-Owl;Extinta (EX);Pernambuco;Mata Atlântica
Glaucis dohrnii;balança-rabo-canela, Ermitaño de Espírito Santo, Hook-billed Hermit;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais;Mata Atlântica
Glaucomastix abaetensis;Calango-do-abaeté, Lagartinho-de-abaeté, Lagartixa-de-abaeté;Em Perigo (EN);Bahia;Mata Atlântica, Sistema Costeiro-Marinho
Glaucomastix littoralis;calango, lagarto-da-cauda-verde;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Glennia pylotis;Borboleta;Em Perigo (EN);Bahia, Espírito Santo, Goiás, Minas Gerais, Rio de Janeiro, São Paulo;Caatinga, Cerrado, Mata Atlântica
Glomeridesmus spelaeus;Piolho-de-cobra;Em Perigo (EN);Pará;Amazônia
Gnamptogenys wilsoni;formiga, Formiga;Em Perigo (EN);Bahia;Mata Atlântica
Gonatodes tapajonicus;Lagartixa;Em Perigo (EN);Pará;Amazônia
Gonycranaus pluto;Aranha-bode, Aranha-fedorenta, Opilião;Vulnerável (VU);Minas Gerais;Cerrado
Gonyostomus insularis;Caracol-da-ilha;Em Perigo (EN);Rio de Janeiro, São Paulo;Mata Atlântica
Grallaria varia distincta;tovacuçu;Vulnerável (VU);Amazonas, Maranhão, Mato Grosso, Pará, Rondônia;Amazônia
Grallaria varia intercedens;tovacuçu;Em Perigo (EN);Bahia, Minas Gerais, Pernambuco;Mata Atlântica
Granatellus pelzelni paraensis;Granatelle du Para, Reinita pechirroja de Pará, Rosenbauch-Sängerkardinal;Vulnerável (VU);Maranhão, Pará, Tocantins;Amazônia
Guaruba guarouba;ararajuba, Aratinga guaruba, Golden Parakeet, guaruba;Vulnerável (VU);Amazonas, Maranhão, Pará, Rondônia;Amazônia, Cerrado
Gubernatrix cristata;cardeal-amarelo, Gobernador Crestado, Yellow Cardinal;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
Gyldenstolpia planaltensis;Cerrado Giant Rat, Rato-do-mato;Em Perigo (EN);Distrito Federal, Mato Grosso;Cerrado
Gymnura altavela;raia-borboleta, raia-manteiga;Criticamente em Perigo (CR);Bahia, Ceará, Espírito Santo, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Hadrurochactas araripe;Escorpião;Criticamente em Perigo (CR);Pernambuco;Caatinga
Hadrurochactas brejo;Escorpião;Criticamente em Perigo (CR);Ceará;Caatinga
Halichoeres rubrovirens;Budião-fogueira, Sabonete-de-Trindade, Trindade’s wrasse;Vulnerável (VU);Espírito Santo;Sistema Costeiro-Marinho
Halichondria cebimarensis;Esponja;Vulnerável (VU);São Paulo;Sistema Costeiro-Marinho
Halichondria tenebrica;Esponja;Vulnerável (VU);São Paulo;Sistema Costeiro-Marinho
Hamadryas velutina browni;Borboleta;Em Perigo (EN);Mato Grosso;Amazônia
Harmonicon cerberus;Aranha, Aranha-de-Teia-em-Funil;Criticamente em Perigo (CR);Pará;Amazônia
Harpia harpyja;Arpía Mayor, gavião-real, harpia, Harpy Eagle;Vulnerável (VU);Acre, Amapá, Amazonas, Bahia, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio de Janeiro, Rio Grande do Sul, Rondônia, Roraima, São Paulo, Tocantins;Amazônia, Cerrado, Mata Atlântica, Pantanal
Harttia depressa;Acari cachimbo;Em Perigo (EN);Amazonas;Amazônia
Harttia dissidens;Acari cachimbo;Vulnerável (VU);Mato Grosso, Pará;Amazônia
Harttia panara;;Vulnerável (VU);Pará;Amazônia
Harttia villasboas;;Vulnerável (VU);Pará;Amazônia
Hasemania crenuchoides;Lambari, Piaba;Em Perigo (EN);Distrito Federal;Cerrado
Hasemania maxillaris;Lambari;Criticamente em Perigo (CR) (PE);Paraná;Mata Atlântica
Hasemania melanura;Lambari;Criticamente em Perigo (CR) (PE);Paraná;Mata Atlântica
Hasemania piatan;;Em Perigo (EN);Bahia;Caatinga
Hasemania uberaba;;Em Perigo (EN);Minas Gerais;Cerrado
Hausera hauseri;Planária;Vulnerável (VU);Rio Grande do Norte;Caatinga
Heliconius nattereri;Borboleta;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica
Hemiancistrus megalopteryx;;Em Perigo (EN);Santa Catarina;Mata Atlântica
Hemitriccus kaempferi;Kaempfer's Tody-Tyrant, maria-catarinense, Titirijí de Kaempfer;Vulnerável (VU);Paraná, Santa Catarina;Mata Atlântica
Hemitriccus mirandae;Buff-breasted Tody-Tyrant, maria-do-nordeste, Titirijí de Miranda;Em Perigo (EN);Alagoas, Ceará, Paraíba, Pernambuco;Caatinga, Mata Atlântica
Henochilus wheatlandii;Andirá;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Heptapterus multiradiatus;Bagrinho-do-tietê;Criticamente em Perigo (CR) (PE);São Paulo;Mata Atlântica
Heraclides himeros baia;Borboleta, rabo-de-andorinha;Em Perigo (EN);Bahia, Paraíba, Tocantins;Caatinga
Heraclides himeros himeros;Borboleta, rabo-de-andorinha;Em Perigo (EN);Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Hermanella amere;efemérida, siriruia;Em Perigo (EN);Espírito Santo;Mata Atlântica
Hermanella nigra;efemérida, siriruia;Vulnerável (VU);Espírito Santo;Mata Atlântica
Herpailurus yagouaroundi;Eira Cat, Gato-azul, Gato Colorado, gato irará, Gato Moro, Gato-mourisco, Gato-vermelho, Jaguarundi, León Brenero, Leoncillo, Onza, Tigrillo, Yaguarundi, Yaguarundí;Vulnerável (VU);Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal, Sistema Costeiro-Marinho
Hesperocharis hirlanda fulvinota;Borboleta;Vulnerável (VU);Rio de Janeiro;Mata Atlântica
Hesperocharis hirlanda planasia;Borboleta;Vulnerável (VU);Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Tocantins;Cerrado
Heteragrion petiense;Libélula;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais;Mata Atlântica
Heterodactylus lundii;Briba, Calango-que-vira-cobra, Cobra-de-pé, Cobra-de-vidro, Cobrinha;Vulnerável (VU);Minas Gerais;Cerrado, Mata Atlântica
Heterodactylus septentrionalis;;Em Perigo (EN);Bahia;Caatinga
Heteroxolmis dominicanus;Black-and-white Monjita, Monjita dominicana, noivinha-de-rabo-preto;Vulnerável (VU);Paraná, Rio Grande do Sul, Santa Catarina;Cerrado, Mata Atlântica, Pampa
Hippocampus erectus;cavalinho, cavalinho-do-mar, cavalo-marinho, hipocampo;Vulnerável (VU);Alagoas, Bahia, Ceará, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Hippocampus patagonicus;cavalo-marinho, cavalo-marinho-de-focinho-curto, cavalo-marinho patagônico;Vulnerável (VU);Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Hippocampus reidi;cavalinho, cavalinho-do-mar, cavalo-marinho, cavalo-marinho-de-focinho-longo;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Hollandichthys taramandahy;Lambari-listrado;Em Perigo (EN);Rio Grande do Sul, Santa Catarina;Mata Atlântica
Holoaden bradei;Itatiaia Highland Frog, Rãzinha-verrugosa-da-serra-de-Bradei, Sapinho-manicure;Criticamente em Perigo (CR) (PE);Minas Gerais, Rio de Janeiro;Mata Atlântica
Homeoura lindneri;agulhinha, donzelinha, lava-bunda, lavadeira, Libélula;Vulnerável (VU);Mato Grosso do Sul, Minas Gerais, São Paulo;Cerrado, Mata Atlântica
Homonota uruguayensis;Camarãozinho, Geco-do-campo, Geco-dos-campos, Geco-uruguaio;Vulnerável (VU);Rio Grande do Sul;Pampa
Hyalella caeca;Camarãozinho;Vulnerável (VU);São Paulo;Mata Atlântica
Hyalella epikarstica;Camarãozinho;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Hyalella formosa;Camarãozinho;Criticamente em Perigo (CR);Paraná;Mata Atlântica
Hyalella imbya;Camarãozinho;Criticamente em Perigo (CR) (PE);Rio Grande do Sul;Pampa
Hyalella veredae;camarãozinho;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Hyalyris fiammetta;Borboleta;Criticamente em Perigo (CR) (PE);Espírito Santo, Minas Gerais, Rio de Janeiro;Cerrado, Mata Atlântica
Hydropsalis candicans;Atajacaminos ala blanca, bacurau-de-rabo-branco, White-winged Nightjar;Em Perigo (EN);Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, São Paulo;Cerrado
Hyleanura mendoncae;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Vulnerável (VU);Minas Gerais;Mata Atlântica
Hylexetastes brigidai;arapaçu-de-loro-cinza, Brigida`s Woodcreeper;Vulnerável (VU);Pará;Amazônia
Hylexetastes uniformis;arapaçu-uniforme, Uniform Woodcreeper;Vulnerável (VU);Amazonas, Mato Grosso, Pará, Rondônia;Amazônia, Cerrado
Hylodes glaber;Itatiaia Tree Toad;Criticamente em Perigo (CR) (PE);Minas Gerais;Mata Atlântica
Hylodes magalhaesi;Rã-de-corredeira;Vulnerável (VU);Minas Gerais, São Paulo;Mata Atlântica
Hylodes mertensi;Mertens Tree Toad, Rã-de-riacho-de-Mertens;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Hylodes sazimai;Rã-de-corredeira, Rãzinha-do-sazima;Em Perigo (EN);Minas Gerais, São Paulo;Mata Atlântica
Hylopezus paraensis;Snethlage`s Antpitta, torom-do-pará;Vulnerável (VU);Maranhão, Pará;Amazônia
Hylopezus whittakeri;Alta Floresta Antpitta, torom-de-alta-floresta;Vulnerável (VU);Amazonas, Mato Grosso, Pará, Rondônia;Amazônia
Hypancistrus zebra;acari-zebra, cascudo-zebra, Cascudo zebra imperial, imperial pleco, L046, L098, L173, zebra pleco, zebrinha;Criticamente em Perigo (CR);Pará;Amazônia
Hypanus berthalutzae;raia-manteiga, raia-prego;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Pernambuco, Rio de Janeiro, Rio Grande do Norte, São Paulo, Sergipe;Sistema Costeiro-Marinho
Hypanus marianae;chapéu-de-couro, raia-de-fogo, raia-mariquita;Vulnerável (VU);Alagoas, Bahia, Ceará, Maranhão, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe;Sistema Costeiro-Marinho
Hyphessobrycon duragenys;Lambari;Em Perigo (EN);São Paulo;Mata Atlântica
Hyphessobrycon flammeus;lambarizinho vermelho, Tetra-rio, Tetra-rosa, Tetra-vermelho;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Hyphessobrycon taurocephalus;Lambari;Criticamente em Perigo (CR) (PE);Paraná;Mata Atlântica
Hypocephalus armatus;Besouro, carocha, iaiá-de-cintura, vaqueiro;Vulnerável (VU);Bahia, Minas Gerais;Caatinga, Cerrado, Mata Atlântica
Hypocnemis hypoxantha ochraceiventris;cantador-amarelo, Hormiguero cejiamarillo, Yellow-browed Antwarbler;Vulnerável (VU);Amazonas, Mato Grosso, Pará;Amazônia
Hypocnemis ochrogyna;cantador-ocráceo, Hormiguero Boliviano, Rondonia Warbling-Antbird;Vulnerável (VU);Mato Grosso, Rondônia;Amazônia, Cerrado, Pantanal
Hypocnemis striata;cantador-estriado, Spix`s Warbling-Antbird;Vulnerável (VU);Amazonas, Mato Grosso, Pará, Tocantins;Amazônia, Cerrado
Hypomasticus thayeri;Timburé;Vulnerável (VU);Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Hyporthodus nigritus;cherne-negro, cherne-queimado, cherne-verdadeiro, mero-negro;Em Perigo (EN);Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Hyporthodus niveatus;badejo-branco, cerigado-cherne, cherna, cherna-preto, cherne, cherne-claro, cherne-pintado, cherne-verdadeiro, tapoan;Vulnerável (VU);Amapá, Bahia, Espírito Santo, Pará, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Hypostomus subcarinatus;Cascudo;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Hypselartemon alveus;Caracol;Vulnerável (VU);Rio de Janeiro;Mata Atlântica
Hypsolebias adornatus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Bahia;Cerrado
Hypsolebias alternatus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Minas Gerais;Cerrado
Hypsolebias auratus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Hypsolebias brunoi;Peixe anual, Peixe das nuvens;Vulnerável (VU);Goiás;Cerrado
Hypsolebias carlettoi;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia;Caatinga
Hypsolebias delucai;Peixe anual, Peixe das nuvens;Vulnerável (VU);Minas Gerais;Cerrado
Hypsolebias faouri;Peixe anual, Peixe das nuvens;Vulnerável (VU);Bahia;Cerrado
Hypsolebias fasciatus;Peixe anual, Peixe das nuvens;Vulnerável (VU);Minas Gerais;Cerrado
Hypsolebias flammeus;annual fish, killifish, pearl fish, peixe anual, Peixe anual, peixe das nuvens, Peixe das nuvens;Em Perigo (EN);Goiás;Cerrado
Hypsolebias flavicaudatus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia, Pernambuco;Caatinga
Hypsolebias fulminantis;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Bahia;Caatinga
Hypsolebias gardneri;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia;Caatinga, Cerrado
Hypsolebias ghisolfii;Peixe anual;Em Perigo (EN);Bahia;Caatinga
Hypsolebias gibberatus;Peixe anual, Peixe das nuvens;Vulnerável (VU);Minas Gerais;Cerrado
Hypsolebias gilbertobrasili;Killifish, Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Bahia;Caatinga
Hypsolebias guanambi;Peixe anual, Peixe das nuvens;Vulnerável (VU);Bahia;Caatinga, Cerrado
Hypsolebias hamadryades;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Hypsolebias harmonicus;Peixe anual, Peixe das nuvens;Vulnerável (VU);Bahia;Cerrado
Hypsolebias hellneri;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia, Minas Gerais;Caatinga, Cerrado
